"date","bw_alltweets","bw_noRTMT"
2013-01-01,"9758","5158"
2013-01-02,"9018","5337"
2013-01-03,"9129","5373"
2013-01-04,"7528","4728"
2013-01-05,"27258","15782"
2013-01-06,"25161","13029"
2013-01-07,"16005","8848"
2013-01-08,"11391","7033"
2013-01-09,"12710","7388"
2013-01-10,"10019","6315"
2013-01-11,"15863","9352"
2013-01-12,"13774","8742"
2013-01-13,"13798","8604"
2013-01-14,"13356","8770"
2013-01-15,"10530","6914"
2013-01-16,"10732","6675"
2013-01-17,"8001","5582"
2013-01-18,"6579","4648"
2013-01-19,"7885","5052"
2013-01-20,"13152","8077"
2013-01-21,"8815","6178"
2013-01-22,"10452","6764"
2013-01-23,"10412","6465"
2013-01-24,"8236","5479"
2013-01-25,"7563","4936"
2013-01-26,"7891","4713"
2013-01-27,"9874","6447"
2013-01-28,"8658","6269"
2013-01-29,"8590","5875"
2013-01-30,"7774","5455"
2013-01-31,"10951","8171"
2013-02-01,"7969","5597"
2013-02-02,"8266","5546"
2013-02-03,"11216","6853"
2013-02-04,"11297","6549"
2013-02-05,"10702","6348"
2013-02-06,"10341","5998"
2013-02-07,"10245","6583"
2013-02-08,"7451","4965"
2013-02-09,"7787","4850"
2013-02-10,"11590","12188"
2013-02-11,"12653","7786"
2013-02-12,"11872","7765"
2013-02-13,"8586","5895"
2013-02-14,"6982","4498"
2013-02-15,"6643","4579"
2013-02-16,"7651","4473"
2013-02-17,"26008","15349"
2013-02-18,"12819","7667"
2013-02-19,"10746","7137"
2013-02-20,"10455","6340"
2013-02-21,"8029","5561"
2013-02-22,"9522","5628"
2013-02-23,"7790","4808"
2013-02-24,"8227","5478"
2013-02-25,"9833","5693"
2013-02-26,"9539","6082"
2013-02-27,"10296","6182"
2013-02-28,"9883","5866"
2013-03-01,"8299","4907"
2013-03-02,"10242","4995"
2013-03-03,"11761","6368"
2013-03-04,"12255","6368"
2013-03-05,"11560","6965"
2013-03-06,"10331","6573"
2013-03-07,"8939","5494"
2013-03-08,"9202","5896"
2013-03-09,"8482","5169"
2013-03-10,"14648","8135"
2013-03-11,"11348","6114"
2013-03-12,"10762","5577"
2013-03-13,"9302","5557"
2013-03-14,"8528","5185"
2013-03-15,"7211","4326"
2013-03-16,"8755","4316"
2013-03-17,"11762","6803"
2013-03-18,"10952","6572"
2013-03-19,"10830","6114"
2013-03-20,"12516","6796"
2013-03-21,"10644","6276"
2013-03-22,"8533","5090"
2013-03-23,"9976","4897"
2013-03-24,"10973","6093"
2013-03-25,"13400","7209"
2013-03-26,"9715","5862"
2013-03-27,"9036","5106"
2013-03-28,"10303","5607"
2013-03-29,"7725","4405"
2013-03-30,"6728","3757"
2013-03-31,"8834","5507"
2013-04-01,"10133","5788"
2013-04-02,"9623","5718"
2013-04-03,"8768","5711"
2013-04-04,"11292","6340"
2013-04-05,"11497","6529"
2013-04-06,"15182","9370"
2013-04-07,"10949","6769"
2013-04-08,"12001","6969"
2013-04-09,"11764","7385"
2013-04-10,"11671","6975"
2013-04-11,"14088","8712"
2013-04-12,"11519","6253"
2013-04-13,"9538","5220"
2013-04-14,"13443","7750"
2013-04-15,"11398","6979"
2013-04-16,"11926","6788"
2013-04-17,"10697","5959"
2013-04-18,"18021","9477"
2013-04-19,"15495","7536"
2013-04-20,"8083","4338"
2013-04-21,"11255","5607"
2013-04-22,"8796","5572"
2013-04-23,"9135","5575"
2013-04-24,"10403","6425"
2013-04-25,"9879","6258"
2013-04-26,"7053","4702"
2013-04-27,"6484","3889"
2013-04-28,"11711","6226"
2013-04-29,"11024","6081"
2013-04-30,"9943","5984"
2013-05-01,"12538","7490"
2013-05-02,"12508","8047"
2013-05-03,"7537","4563"
2013-05-04,"7450","4319"
2013-05-05,"10104","5649"
2013-05-06,"9588","5840"
2013-05-07,"9665","5589"
2013-05-08,"10434","6474"
2013-05-09,"9402","5916"
2013-05-10,"6457","4088"
2013-05-11,"6598","3734"
2013-05-12,"8501","5168"
2013-05-13,"9936","5726"
2013-05-14,"8509","5056"
2013-05-15,"11755","7032"
2013-05-16,"9493","6079"
2013-05-17,"7011","4181"
2013-05-18,"6998","3815"
2013-05-19,"8579","5147"
2013-05-20,"11564","6264"
2013-05-21,"8876","5290"
2013-05-22,"8577","5377"
2013-05-23,"9775","6006"
2013-05-24,"7362","4371"
2013-05-25,"8318","4210"
2013-05-26,"7795","4272"
2013-05-27,"9343","4954"
2013-05-28,"9778","5357"
2013-05-29,"9031","5279"
2013-05-30,"8281","4710"
2013-05-31,"5781","3740"
2013-06-01,"6359","3905"
2013-06-02,"8896","5278"
2013-06-03,"10170","5937"
2013-06-04,"20765","11301"
2013-06-05,"18342","10931"
2013-06-06,"10662","6881"
2013-06-07,"7452","4625"
2013-06-08,"7867","4625"
2013-06-09,"8818","5355"
2013-06-10,"8968","5837"
2013-06-11,"9329","5727"
2013-06-12,"12013","6671"
2013-06-13,"8871","5338"
2013-06-14,"5857","3789"
2013-06-15,"6042","3613"
2013-06-16,"8169","4624"
2013-06-17,"10168","6011"
2013-06-18,"9365","5818"
2013-06-19,"7733","4871"
2013-06-20,"8642","5335"
2013-06-21,"6877","4010"
2013-06-22,"7093","3851"
2013-06-23,"9398","5554"
2013-06-24,"9765","5522"
2013-06-25,"9309","5902"
2013-06-26,"8418","5097"
2013-06-27,"9731","5850"
2013-06-28,"6757","3952"
2013-06-29,"7326","4067"
2013-06-30,"6686","4274"
2013-07-01,"8570","5154"
2013-07-02,"7771","4905"
2013-07-03,"7083","4318"
2013-07-04,"6829","4161"
2013-07-05,"6616","4266"
2013-07-06,"7110","4188"
2013-07-07,"8574","5526"
2013-07-08,"9712","6211"
2013-07-09,"8636","5512"
2013-07-10,"7843","5281"
2013-07-11,"8896","5001"
2013-07-12,"7006","4565"
2013-07-13,"10107","5938"
2013-07-14,"8504","5088"
2013-07-15,"8824","5418"
2013-07-16,"8581","5182"
2013-07-17,"9168","5270"
2013-07-18,"8063","4606"
2013-07-19,"6850","4232"
2013-07-20,"6614","4064"
2013-07-21,"8153","5067"
2013-07-22,"8799","5173"
2013-07-23,"8171","4731"
2013-07-24,"8453","4647"
2013-07-25,"9255","5396"
2013-07-26,"9818","4525"
2013-07-27,"8893","4591"
2013-07-28,"9279","5226"
2013-07-29,"9402","5262"
2013-07-30,"8766","5039"
2013-07-31,"7609","4702"
2013-08-01,"7404","4447"
2013-08-02,"7077","4225"
2013-08-03,"6354","3919"
2013-08-04,"8176","4605"
2013-08-05,"9158","5559"
2013-08-06,"10403","5828"
2013-08-07,"9711","5849"
2013-08-08,"8840","5054"
2013-08-09,"6450","4024"
2013-08-10,"7380","4112"
2013-08-11,"9156","5087"
2013-08-12,"8965","5633"
2013-08-13,"9957","6048"
2013-08-14,"12156","7016"
2013-08-15,"23563","10712"
2013-08-16,"9083","4765"
2013-08-17,"8244","4550"
2013-08-18,"22287","13373"
2013-08-19,"16864","10925"
2013-08-20,"11316","6994"
2013-08-21,"9237","5765"
2013-08-22,"8350","5125"
2013-08-23,"7702","4700"
2013-08-24,"7386","4485"
2013-08-25,"9001","5672"
2013-08-26,"8828","5244"
2013-08-27,"10076","5835"
2013-08-28,"8866","5617"
2013-08-29,"7722","5026"
2013-08-30,"6565","4030"
2013-08-31,"7364","4383"
2013-09-01,"7311","4357"
2013-09-02,"8507","5100"
2013-09-03,"38337","18018"
2013-09-04,"12371","7604"
2013-09-05,"9672","5928"
2013-09-06,"8228","4727"
2013-09-07,"9666","5457"
2013-09-08,"15049","8215"
2013-09-09,"42989","16823"
2013-09-10,"32286","11765"
2013-09-11,"12858","6566"
2013-09-12,"11178","6740"
2013-09-13,"8383","5071"
2013-09-14,"8097","5046"
2013-09-15,"10142","5965"
2013-09-16,"9738","6110"
2013-09-17,"11073","6993"
2013-09-18,"9898","5540"
2013-09-19,"7575","5177"
2013-09-20,"10734","5082"
2013-09-21,"11762","6598"
2013-09-22,"9858","6562"
2013-09-23,"8716","5495"
2013-09-24,"8904","5723"
2013-09-25,"9860","6458"
2013-09-26,"8180","5259"
2013-09-27,"6691","4013"
2013-09-28,"7187","4530"
2013-09-29,"8926","5705"
2013-09-30,"8634","5451"
2013-10-01,"9121","5865"
2013-10-02,"9030","6004"
2013-10-03,"8227","5085"
2013-10-04,"6214","3977"
2013-10-05,"6138","4244"
2013-10-06,"8553","5361"
2013-10-07,"8621","5833"
2013-10-08,"9090","5385"
2013-10-09,"10882","6451"
2013-10-10,"9130","5708"
2013-10-11,"6467","4254"
2013-10-12,"6405","4218"
2013-10-13,"9992","6088"
2013-10-14,"10084","6242"
2013-10-15,"11455","7742"
2013-10-16,"9327","6033"
2013-10-17,"8017","5453"
2013-10-18,"7262","4863"
2013-10-19,"7461","4794"
2013-10-20,"8629","5233"
2013-10-21,"8972","5434"
2013-10-22,"7711","4854"
2013-10-23,"9677","5057"
2013-10-24,"6619","4343"
2013-10-25,"5579","3679"
2013-10-26,"7868","4782"
2013-10-27,"8542","5308"
2013-10-28,"7633","4994"
2013-10-29,"8776","5751"
2013-10-30,"7401","4581"
2013-10-31,"6921","3934"
2013-11-01,"6702","4245"
2013-11-02,"7626","3817"
2013-11-03,"8390","4626"
2013-11-04,"9913","5630"
2013-11-05,"7297","4894"
2013-11-06,"7141","4465"
2013-11-07,"8565","4462"
2013-11-08,"6032","3269"
2013-11-09,"7582","3715"
2013-11-10,"9798","5523"
2013-11-11,"8332","4846"
2013-11-12,"9630","5118"
2013-11-13,"8369","4794"
2013-11-14,"7878","4663"
2013-11-15,"5359","3440"
2013-11-16,"6417","3850"
2013-11-17,"7069","4414"
2013-11-18,"10095","6373"
2013-11-19,"8835","5672"
2013-11-20,"8580","5709"
2013-11-21,"6911","4736"
2013-11-22,"6339","3759"
2013-11-23,"6326","3820"
2013-11-24,"7755","5003"
2013-11-25,"6863","4519"
2013-11-26,"13385","8512"
2013-11-27,"8507","5919"
2013-11-28,"5403","3595"
2013-11-29,"6521","3784"
2013-11-30,"10354","5592"
2013-12-01,"7504","4946"
2013-12-02,"8180","5167"
2013-12-03,"7710","4692"
2013-12-04,"8060","4933"
2013-12-05,"6906","4542"
2013-12-06,"5760","3442"
2013-12-07,"6344","3944"
2013-12-08,"7343","4660"
