id	notserious_unclear (1) includes suicide_other and off-topic	 0 serious	Focus 0: neither problem solution	1 problem	2 solution	 1=problem	Suicidality 1	Suicidality 3	Coping 1	Coping 3	bereaved neg	bereaved pos	werther	live saved	awareness	prevention	news suicidality	news coping	sui other	off topic	any other category?	text
737227748578447360		x		x			x															
858233632695107584		x		x									x									
893241563287080964		x		x									x									
939514611363180544		x			x				x												might be suicidality one  because text says �if not clearly negative priority is on coping�. But as it is also quiteproblem focused , and the table suggests that problem is suicidality not coping, not entirely clear	
1064244790194253827		x		x											x						this seems to rather make others aware that gun violence is linked to suciide, but maybe it is related to prevention efforts�but not clearly stated, so coded awareness	
334392383133319168		x		x			x															
948083797249097729		x			x											x						
1184145358299062272		x		x											x							
1174164602160070657		x		x			x															
776515898458812417		x		x											x						might be werther but there are no specific cases just that there were many suicides	
932413912569409537		x		x			x															
424362290419597312	x		x																	x		
641734801742036993		x			x											x						
1202562025202864131	x				x															x	might be prevention (help someone in difgital environment) but does not even mention suicide in the tweet. If it did mention , would code as awarenss (hoenstly not sure how this tweet ended up in the sample) please correct my coding if some paerts of the tweets were missing	
564876528157470720		x		x											x							
1184492021010055171		x			x											x					took long to decide I think prevention is most suitable, as it is not truly awarenss but they speak for prevention purpose	
1009250997196152832		x		x									x									
817031798932865024		x		x									x									
664849993652502529		x		x											x							
892025299491336194		x		x			x															
372850430411567104	x		x																	x		
956349737711620096		x		x											x						heterosexual might imply many things including homophobia. But in terms of message about suicide it is clearly awarenss	
700140168171429890		x		x			x														unclear, but we see suicide as a problem so thiss olution is problem cetnric I�d say. And of course not entirely clearl if serious,but no real reason to doubt either	
311848182323765248		x		x									x								instructions say that �if doubts are expressed, still code as werther�. Now, here this is really a question, but it seems to be similar to raising doubt�the take home is probably that it might be a suicide	
515164638992805888		x		x			x															
419460405493116928	x		x																	x		
573293376717512704		x		x											x						close to prevention but clearly problem focused. Went through the examples that differentiate prev and awareness, thought it was rather awareness. But ther eis one sentence udne rprevention which appeared suggesting the opposite: �hinting at solution is enogh, no specific action needs to be described�	
681697297009225729	x		x																	x	really not sure about the transaltion 	
519545879486025729		x			x				x													
503776151979188224		x		x			x															
986753298362318848		x			x				x												thank yous with personal expereince are coping�hope we agree--maybe add this to the codebook. Alternatively, it would be prevention, but this is really a personal experience	
344576678443511809		x		x												x					celebrating life, well thats very unspecific but according to our criteria for prevention, unspecific is ok. Also, this appears to be a bit event-oreinted, which is also mentioned in prevention notes	
1237127404801470467		x		x									x									
646137481880928256		x		x			x														well, an alternative view might be coping---but just saying I can�t appears extremely precarious	
905260345756962816	x		x																	x		
1155701252925337600		x		x									x								took some time to code. Appears to be a condolence due to specific cases. The only mentioning of condoelces is under the werther category.	
540989649926512640		x			x				x												trickky�either suicidality 1 or coping 1. but it is not clearly negative. And waiting for follow-up care, which hints to solution.	
483840709808508928	x		x																	x		
1113827161792819200		x			x											x						
978299506507821056		x		x											x						again, tricky. Seems to create awarenss. Might also be seen as prevention, buit based on awarensss examples, rather awareness.	
930435129033584641		x		x											x							
742440598930522112		x		x			x															
494913379094380544		x		x											x						if a test was available would be relevant to prevention. But just saying research suggests a test predicts risk is clearly problem-focused	
