timestamp	tweet_id	set	ambiguous	notserious_unclear	focus	type	category	category2	main_category	about_suicide
Fri Nov 17 03:36:42 +0000 2017	931365452210679808	basefrequency	1 no joke, awareness	0	1	4	awareness	awareness	awareness	1
Mon Aug 07 17:48:30 +0000 2017	894616251527561216	basefrequency	news_suicidality, suicidality3	0	1	4	awareness	suicidality3	awareness	1
7/21/18 5:37 AM	1020543272979230720	intial_training_set_coded_on_CH	prevention	0	1	4	awareness	prevention	awareness	1
3/17/18 3:04 AM	974843993308745728	intial_training_set_coded_on_CH	prevention	0	1	4	awareness	prevention	awareness	1
10/5/14 7:36 AM	518635756886056960	reliability_testing_set1	prevention	0	1	4	awareness	prevention	awareness	1
5/16/19 8:47 PM	1129126123542073344	intial_training_set_coded_on_CH	prevention	0	1	4	awareness	prevention	awareness	1
11/14/18 11:15 PM	1062846406514356224	intial_training_set_coded_on_CH	prevention	0	1	4	awareness	prevention	awareness	1
5/6/18 11:30 PM	993271912800423936	intial_training_set_coded_on_CH	prevention	0	1	4	awareness	prevention	awareness	1
4/30/15 6:58 AM	593670805386502144	intial_training_set_coded_on_CH	prevention	0	1	4	awareness	prevention	awareness	1
6/9/18 5:37 PM	1005473904339582976	reliability_testing_set1	prevention	0	1	4	awareness	prevention	awareness	1
12/25/19 3:22 AM	1209660730926141440	reliability_testing_set1	prevention	0	1	4	awareness	prevention	awareness	1
4/16/20 5:06 PM	1250802725937270784	reliability_testing_set1	prevention	0	1	4	awareness	prevention	awareness	1
6/10/18 8:12 PM	1005905688873164800	intial_training_set_coded_on_CH	prevention	0	1	4	awareness	prevention	awareness	1
1/4/11 12:48 AM	22092066913779712	intial_training_set_coded_on_CH	prevention	0	1	4	awareness	prevention	awareness	1
3/24/17 4:00 PM	845289200991813632	reliability_testing_set1	prevention	0	1	4	awareness	prevention	awareness	1
Tue Aug 12 19:15:01 +0000 2014	499272863548198912	basefrequency	prevention	0	1	4	awareness	prevention	awareness	1
Tue Apr 28 14:24:17 +0000 2015	593058157838147584	basefrequency	prevention	0	1	4	awareness	prevention	awareness	1
12/27/16 8:04 PM	813822769745924096	reliability_testing_set1	suicide_other	0	1	4	awareness	suicide_other	awareness	1
6/26/15 10:00 PM	614523600670822400	reliability_testing_set1	suicide_other	0	1	4	awareness	suicide_other	awareness	1
4/1/18 3:13 AM	980251710865240064	reliability_testing_set1	suicide_other	0	1	4	awareness	suicide_other	awareness	1
1/12/14 7:44 PM	422454056180002816	intial_training_set_coded_on_CH	suicide_other	0	1	4	awareness	suicide_other	awareness	1
Sun Aug 04 02:19:00 +0000 2013	363846501853704192	basefrequency	suicide_other	0	1	4	awareness	suicide_other	awareness	1
Fri Jan 10 04:52:04 +0000 2020	1215496506792448000	basefrequency	suicide_other	0	1	4	awareness	suicide_other	awareness	1
Wed May 22 15:55:07 +0000 2019	1131226993742241792	basefrequency	werther	0	1	4	awareness	werther	awareness	1
Fri Dec 23 13:15:41 +0000 2016	812285548765310976	basefrequency	werther	0	1	4	awareness	werther	awareness	1
6/7/18 11:14 AM	1004683046493319168	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
6/11/18 1:37 PM	1006138384631205888	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
5/29/16 6:31 PM	736988380899090432	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
2017-05-03 21:54:04	859858616395988992	reliability_testing_set2		0	1	4	awareness	NA	awareness	1
1/28/15 9:47 PM	560554881090846720	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
1/12/20 8:07 AM	1216270484175650816	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
2/24/16 5:50 PM	702536042067447808	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
10/28/18 6:48 PM	1056603729045143552	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
9/5/14 8:15 PM	507955179090903040	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
1/18/11 5:30 PM	27417535146102784	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
2013-04-07 14:39:46	320878565698707456	reliability_testing_set2		0	1	4	awareness	NA	awareness	1
11/23/19 1:08 AM	1198030566043639808	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
1/24/13 5:00 AM	294308629492936704	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
11/26/14 1:35 AM	537419431140274176	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
3/21/18 3:50 AM	976304933094871040	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
11/20/17 10:58 PM	932745095627132928	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
8/26/19 4:10 PM	1165989802996637696	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
6/8/13 4:48 PM	343409229819965440	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
11/19/17 2:53 PM	932260658690904064	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
12/11/15 2:10 PM	675301542279454720	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
6/27/17 8:15 PM	879795311585185792	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
1/19/18 11:12 AM	954310549797593088	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
9/11/18 3:34 PM	1039537676301611008	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
10/31/18 10:54 PM	1057767906820407296	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
11/18/14 7:29 AM	534594128831868928	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
11/18/17 7:15 AM	931782913376399360	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
4/6/19 1:05 PM	1114484267382378496	reliability_testing_set2		0	1	4	awareness	NA	awareness	1
2013-05-05 15:25:15	331036874862915584	reliability_testing_set2		0	1	4	awareness	NA	awareness	1
2/4/18 11:19 PM	960276778551054336	reliability_testing_set2		0	1	4	awareness	NA	awareness	1
5/25/15 9:14 PM	602915751872233472	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
9/9/11 9:51 AM	112100918794792960	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
12/14/14 1:48 AM	543930390357213184	reliability_testing_set2		0	1	4	awareness	NA	awareness	1
8/28/15 9:54 AM	637201495780257792	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
5/29/17 5:58 PM	869221345627971584	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
7/10/16 3:49 AM	751956484611641344	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
7/31/18 5:19 PM	1024343746152824832	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
4/9/13 8:56 PM	321698253450121216	reliability_testing_set2		0	1	4	awareness	NA	awareness	1
6/5/15 9:56 PM	606942640504840192	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
6/14/16 1:44 PM	742714242273529856	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
6/28/15 4:36 AM	614985702216986624	reliability_testing_set2		0	1	4	awareness	NA	awareness	1
2/11/18 5:46 AM	962548398426673152	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
2019-05-20 19:31:24	1130526448693989376	reliability_testing_set2		0	1	4	awareness	NA	awareness	1
7/12/16 11:55 PM	752984693016977408	reliability_testing_set2		0	1	4	awareness	NA	awareness	1
2014-08-25 21:26:35	503986818048483328	reliability_testing_set2		0	1	4	awareness	NA	awareness	1
1/17/13 1:40 AM	291706418497724416	reliability_testing_set2		0	1	4	awareness	NA	awareness	1
9/5/14 4:35 AM	507718556184625152	reliability_testing_set2		0	1	4	awareness	NA	awareness	1
9/16/16 8:34 PM	776851671955546112	reliability_testing_set2		0	1	4	awareness	NA	awareness	1
2016-10-13 03:16:38	786375057127804928	reliability_testing_set2		0	1	4	awareness	NA	awareness	1
2016-04-18 07:55:12	721940122409676800	reliability_testing_set2		0	1	4	awareness	NA	awareness	1
2014-08-27 17:18:08	504649066463383552	reliability_testing_set2		0	1	4	awareness	NA	awareness	1
8/22/15 4:15 PM	635092963945783296	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
2/10/20 8:07 PM	1226960998093017088	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
10/20/19 3:23 AM	1185728152745713664	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
1/17/17 11:49 PM	821504686737924096	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
11/18/19 7:44 PM	1196514617926791168	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
4/27/19 2:18 AM	1121931542383796224	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
11/3/18 10:17 PM	1058830451417071616	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
8/6/13 10:31 PM	364846326321647616	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
7/25/18 8:08 AM	1022030696280481792	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
11/5/17 9:25 PM	927285845752762368	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
2/10/13 5:39 PM	300645209350483968	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
5/3/13 12:36 AM	330088355863879680	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
11/20/17 4:34 AM	932452136792735744	reliability_testing_set2		0	1	4	awareness	NA	awareness	1
11/23/13 11:53 AM	404201056877694976	reliability_testing_set2		0	1	4	awareness	NA	awareness	1
5/26/18 9:21 PM	1000487216567717888	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
1/18/13 5:01 PM	292300694797549568	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
9/11/14 12:28 AM	509830699994873856	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
6/28/18 1:20 PM	1012324840651608064	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
11/1/17 7:07 AM	925620392089214976	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
9/8/19 5:19 PM	1170748623073595392	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
8/7/19 1:38 PM	1159096361209479168	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
7/23/16 10:22 PM	756977864445222912	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
5/24/13 8:07 PM	337993296389472256	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
12/29/16 6:54 PM	814529975936286720	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
11/10/18 7:04 PM	1061318620461105152	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
1/17/17 4:05 PM	821388086915403776	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
3/7/13 11:37 PM	309795037644988416	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
1/28/19 5:14 PM	1089934788784472064	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
8/8/17 9:25 PM	895003164457316352	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
12/30/18 7:42 PM	1079462843924262912	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
12/19/19 12:56 PM	1207630875589918720	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
12/30/17 10:53 AM	947058079300050944	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
12/6/19 4:25 PM	1202972407419592704	reliability_testing_set1		0	1	4	awareness	NA	awareness	1
11/29/18 5:51 PM	1068200807198273536	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
6/29/19 3:14 AM	1144806356685402112	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
11/30/14 7:56 PM	539146054969462784	intial_training_set_coded_on_CH		0	1	4	awareness	NA	awareness	1
